skymap_id,tract,patch,ra,dec,forced_objects_count,meas_objects_count,gmag_psf_depth,rmag_psf_depth,imag_psf_depth,zmag_psf_depth,ymag_psf_depth
103160001,10316,1,179.25908318739806,4.646259879565316,17123,17123,26.772358,26.321074,25.98749,25.086346,24.605865
103160002,10316,2,179.2593047037374,4.832898123918067,17368,17368,26.626915,26.298214,25.946003,24.922157,24.537373
103160003,10316,3,179.25952635154093,5.019544290223625,15265,15265,26.366796,26.17695,25.852097,24.817259,24.526333
103160004,10316,4,179.25974813092574,5.206194417471375,13735,13735,26.186342,26.04248,25.514029,24.67597,24.338032
103160005,10316,5,179.25997004200897,5.392844544146302,11144,11144,26.114048,25.902336,24.997694,24.083323,23.920998
103160006,10316,6,179.26019208490797,5.579490708733463,2827,2827,26.04193,25.833656,,,
103160100,10316,100,179.07401061327855,4.4621299329816955,19355,19355,26.718035,26.237595,25.966728,25.037786,24.489267
103160101,10316,101,179.07417510156148,4.646430357332239,16397,16397,26.570532,26.224657,25.935776,25.005434,24.514091
103160102,10316,102,179.07434177019007,4.833075491075146,16832,16832,26.645761,26.2344,25.88624,24.981813,24.492086
103160103,10316,103,179.0745085377394,5.019728547674652,15687,15687,26.420046,26.179726,25.786186,24.775858,24.40228
103160104,10316,104,179.07467540429764,5.206385565685089,13593,13593,26.238096,26.10872,25.484964,24.592714,24.164192
103160105,10316,105,179.074842369953,5.393042583156332,11558,11558,26.16894,26.009636,24.989698,24.074001,23.867355
103160106,10316,106,179.07500943479369,5.579695638138304,4545,4545,26.09459,25.88635,24.883137,23.91707,23.73541
103160200,10316,200,178.886804834914,4.462248545520904,18218,18218,26.722136,26.255997,25.883781,24.982624,24.456726
103160201,10316,201,178.8869144973399,4.646553899117536,17139,17139,26.631958,26.234728,25.896145,24.98707,24.44802
103160202,10316,202,178.8870256133803,4.833204025464851,18850,18850,26.677721,26.262512,25.836714,24.931906,24.362146
103160203,10316,203,178.8871367953736,5.019862075323735,15789,15789,26.45348,26.199148,25.674698,24.639288,24.258575
103160204,10316,204,178.88724804337855,5.206524086933271,12441,12441,26.293161,26.141237,25.425066,24.527647,24.11253
103160205,10316,205,178.88735935745387,5.393186098027983,11179,11179,26.233564,26.057804,25.04298,24.091593,23.860218
103160206,10316,206,178.8874707376585,5.579844146342454,6257,6257,26.13444,25.93293,24.962807,23.994461,23.79005
103160300,10316,300,178.69959106204232,4.462319715212292,18483,18483,26.800014,26.323328,25.993704,25.07662,24.549381
103160301,10316,301,178.69964589158462,4.646628026447845,19340,19340,26.725183,26.31903,26.000835,25.053259,24.54823
103160302,10316,302,178.69970144791313,4.833281148450232,17717,17717,26.576115,26.093307,25.850054,24.95964,24.417992
103160303,10316,303,178.69975703721812,5.01994219435723,15523,15523,26.415981,26.133371,25.55101,24.718437,24.250252
103160304,10316,304,178.699812659529,5.206607202218716,11372,11372,26.284113,26.133707,25.306185,24.455214,24.090635
103160305,10316,305,178.69986831487512,5.393272209579995,11136,11136,26.20427,26.050846,25.045534,24.113766,23.894178
103160306,10316,306,178.69992400328593,5.579933253986462,7173,7173,26.147007,25.938793,24.997366,24.031195,23.82485
103160400,10316,400,178.51237329191085,4.462343435245147,16985,16985,26.708372,26.24701,26.053135,25.142052,24.636505
103160401,10316,401,178.5123732850562,4.646652732227641,21353,21353,26.645935,26.236252,26.000088,25.123316,24.572792
103160402,10316,402,178.51237327811074,4.8333068526473335,18603,18603,26.621372,26.067907,25.918997,25.033106,24.550596
103160403,10316,403,178.51237327116112,5.019968897102618,17055,17055,26.381298,26.042332,25.605633,24.754753,24.307232
103160404,10316,404,178.51237326420738,5.206634903580351,10936,10936,26.202816,26.061954,25.096151,24.250217,23.999905
103160405,10316,405,178.51237325724952,5.393300909562754,10666,10666,26.124659,25.992764,25.023273,24.15338,23.920614
103160406,10316,406,178.51237325028754,5.579962952532129,5720,5720,25.986204,25.889576,24.992813,24.05842,23.815657
103160500,10316,500,178.32515552227912,4.462319703349408,18084,18084,26.578892,26.2629,25.819252,25.04587,24.561407
103160501,10316,501,178.32510067902797,4.6466280140919585,17134,17134,26.507605,26.312986,25.918585,25.00245,24.478289
103160502,10316,502,178.32504510880895,4.833281135595025,15851,15851,26.696573,26.31488,25.880226,24.93678,24.427937
103160503,10316,503,178.3249895056052,5.019942181002634,14261,14261,26.498198,26.219,25.824753,24.815773,24.355076
103160504,10316,504,178.3249338693873,5.206607188364684,10421,10421,26.16881,26.062359,25.313034,24.396633,24.044777
103160505,10316,505,178.3248782001259,5.393272195226543,7743,7743,25.953146,25.942726,25.002272,24.134418,23.90346
103160600,10316,600,178.13794175090652,4.462248521796265,18289,18289,26.601679,26.242826,26.108913,25.08299,24.585287
103160601,10316,601,178.1378320747732,4.646553874406961,18270,18270,26.691109,26.317327,25.908554,24.971624,24.45511
103160602,10316,602,178.13772094484355,4.8332039997556615,16993,16993,26.693491,26.365427,25.848434,24.912483,24.340296
103160603,10316,603,178.13760974895283,5.019862048615805,13862,13862,26.382675,26.194382,25.788225,24.724077,24.287176
103160604,10316,604,178.13749848704222,5.206524059226533,11234,11234,26.161842,26.001139,25.463753,24.541264,24.082651
103160605,10316,605,178.13738715905296,5.393186069322423,7241,7241,26.051083,25.814882,24.967157,24.071045,23.839746
103160606,10316,606,178.13727576492613,5.57984411663814,2827,2827,,,24.79582,23.979258,23.76022
103160700,10316,700,177.95073597504035,4.462129897397574,16355,16355,26.707432,26.243988,26.095594,25.143679,24.612738
103160701,10316,701,177.9505714730521,4.646430320269322,17715,17715,26.722496,26.25289,26.028738,25.062069,24.541481
103160702,10316,702,177.95040479053657,4.833075452514445,17904,17904,26.583437,26.23258,25.979706,24.87287,24.503212
103160703,10316,703,177.950238009092,5.019728507615953,13899,13899,26.33201,26.105124,25.8944,24.753092,24.440792
103160704,10316,704,177.9500711286303,5.206385524128296,12707,12707,26.174109,26.008833,25.58208,24.617712,24.186285
103160705,10316,705,177.9499041490633,5.393042540101438,9895,9895,26.108269,25.895382,24.968798,24.118572,23.801207
103160706,10316,706,177.94973707030263,5.579695593585392,3675,3675,26.019308,25.850185,24.736975,23.923452,23.695196
103160800,10316,800,177.76588202285802,4.461966209883683,18944,18944,26.69402,26.129675,25.983849,24.94782,24.470278
103160801,10316,801,177.76566339066588,4.646259830307942,17272,17272,26.60674,26.138693,25.917841,24.943508,24.468311
103160802,10316,802,177.76544186044265,4.832898072670103,17486,17486,26.607386,26.170357,25.895128,24.921562,24.476418
103160803,10316,803,177.765220198747,5.019544236984804,14989,14989,26.307133,26.110071,25.822226,24.736998,24.427694
103160804,10316,804,177.76499840546185,5.206194362241556,12530,12530,26.220345,26.056467,25.51791,24.533272,24.178776
103160805,10316,805,177.76477648047,5.392844486925477,9067,9067,26.1503,25.976627,25.132078,23.836863,23.787817
103160806,10316,806,177.7645544236541,5.579490649521749,5160,5160,26.056837,25.851213,,,
103170000,10317,0,180.74646787469334,4.461966257175699,15092,15092,26.265776,26.144545,26.119955,25.009972,24.560476
103170001,10317,1,180.74668649318318,4.646259879565316,16430,16430,26.251896,26.192865,26.076458,24.888323,24.452942
103170002,10317,2,180.7469080095225,4.832898123918066,15056,15056,26.284687,26.185688,26.047758,24.798819,24.393566
103170003,10317,3,180.74712965732604,5.0195442902236245,14610,14610,26.271141,26.027164,25.82293,24.79169,24.305538
103170004,10317,4,180.74735143671086,5.206194417471375,13039,13039,26.191599,25.853819,25.629482,24.65273,24.053583
103170005,10317,5,180.7475733477941,5.392844544146303,8735,8735,26.149385,25.777534,25.453136,24.377424,23.720757
103170100,10317,100,180.56161391906366,4.4621299329816955,19061,19061,26.550941,26.186712,26.272093,25.124317,24.544842
103170101,10317,101,180.5617784073466,4.646430357332239,16441,16441,26.415785,26.14695,26.1103,25.042578,24.554468
103170102,10317,102,180.5619450759752,4.833075491075146,15429,15429,26.364946,26.093996,25.970789,24.917538,24.483456
103170103,10317,103,180.56211184352452,5.019728547674652,13741,13741,26.321346,25.997894,25.835123,24.86407,24.417582
103170104,10317,104,180.56227871008275,5.206385565685089,13249,13249,26.24901,25.936508,25.669758,24.719206,24.172092
103170105,10317,105,180.5624456757381,5.393042583156332,9701,9701,26.17322,25.842382,25.340721,24.38641,23.730974
103170200,10317,200,180.3744081406991,4.462248545520904,16484,16484,26.602219,26.169632,26.066677,25.0608,24.515404
103170201,10317,201,180.374517803125,4.646553899117536,15229,15229,26.46462,26.111214,25.966589,25.048223,24.530123
103170202,10317,202,180.37462891916542,4.833204025464851,19915,19915,26.533108,26.154263,25.958914,24.994907,24.546968
103170203,10317,203,180.37474010115872,5.019862075323735,14718,14718,26.374397,26.09507,25.870232,24.809502,24.36814
103170204,10317,204,180.37485134916366,5.206524086933271,12046,12046,26.312885,26.012909,25.575642,24.66586,24.22914
103170205,10317,205,180.374962663239,5.393186098027984,10624,10624,26.23404,25.922026,25.03528,24.134869,23.923548
103170206,10317,206,180.37507404344362,5.579844146342454,3852,3852,26.163227,25.830599,24.910547,23.93408,23.81105
103170300,10317,300,180.18719436782743,4.462319715212291,14660,14660,26.65391,26.160915,25.98951,25.007545,24.464554
103170301,10317,301,180.18724919736974,4.646628026447844,15480,15480,26.495617,26.074226,25.90602,24.98883,24.473862
103170302,10317,302,180.18730475369824,4.833281148450232,19785,19785,26.573927,26.168554,25.814087,24.905956,24.473236
103170303,10317,303,180.18736034300323,5.019942194357229,16873,16873,26.47138,26.097322,25.718218,24.766768,24.331902
103170304,10317,304,180.1874159653141,5.206607202218716,14670,14670,26.34584,26.056425,25.439112,24.530664,24.20188
103170305,10317,305,180.1874716206602,5.393272209579995,11567,11567,26.269014,25.9674,25.090006,24.14357,23.969063
103170306,10317,306,180.18752730907104,5.579933253986462,6399,6399,26.183714,25.853724,25.01184,24.028162,23.90266
103170400,10317,400,179.99997659769596,4.462343435245147,19245,19245,26.773348,26.240545,26.077496,25.074232,24.69184
103170401,10317,401,179.99997659084133,4.646652732227641,17930,17930,26.621782,26.189085,25.985542,25.04415,24.603722
103170402,10317,402,179.9999765838959,4.833306852647333,19100,19100,26.568129,26.078636,25.874622,24.950943,24.459553
103170403,10317,403,179.99997657694627,5.019968897102618,22394,22394,26.48323,26.022766,25.62814,24.79382,24.356491
103170404,10317,404,179.99997656999253,5.206634903580351,12275,12275,26.331007,26.044655,25.370895,24.438248,24.193039
103170405,10317,405,179.99997656303466,5.393300909562754,12141,12141,26.241291,25.946545,25.110987,24.183144,24.032372
103170406,10317,406,179.99997655607265,5.579962952532129,6814,6814,26.17376,25.83297,25.062246,24.087534,23.947084
103170500,10317,500,179.81275882806423,4.462319703349408,19849,19849,26.744738,26.166348,26.12202,25.14373,24.77373
103170501,10317,501,179.8127039848131,4.6466280140919585,18778,18778,26.66658,26.155563,25.994007,25.129042,24.625578
103170502,10317,502,179.8126484145941,4.833281135595025,17901,17901,26.61087,26.1051,25.953247,25.070793,24.531647
103170503,10317,503,179.81259281139035,5.019942181002634,16070,16070,26.43665,25.994604,25.65111,24.81974,24.424494
103170504,10317,504,179.81253717517245,5.206607188364683,11771,11771,26.262188,25.97027,25.169586,24.275517,24.105274
103170505,10317,505,179.81248150591105,5.393272195226543,13345,13345,26.172142,25.890633,25.101086,24.219198,24.046316
103170506,10317,506,179.81242580357667,5.579933239133583,6808,6808,26.085957,25.787472,25.04807,24.102652,23.962528
103170600,10317,600,179.62554505669166,4.462248521796265,19138,19138,26.702568,26.189377,26.034773,25.042276,24.650408
103170601,10317,601,179.62543538055832,4.64655387440696,17877,17877,26.749136,26.2787,25.932999,25.029074,24.512848
103170602,10317,602,179.6253242506287,4.8332039997556615,18002,18002,26.722874,26.182608,25.867786,24.929947,24.45627
103170603,10317,603,179.62521305473794,5.0198620486158045,15805,15805,26.456724,26.175615,25.8088,24.82269,24.41175
103170604,10317,604,179.62510179282737,5.206524059226533,11647,11647,26.250267,25.976826,25.33681,24.392754,24.127449
103170605,10317,605,179.6249904648381,5.3931860693224225,9188,9188,25.992851,25.815481,25.06022,24.162918,24.010881
103170700,10317,700,179.43833928082546,4.462129897397574,17657,17657,26.667517,26.22549,26.09869,25.072172,24.662497
103170701,10317,701,179.4381747788372,4.646430320269321,18466,18466,26.701443,26.343204,25.91982,24.979261,24.473854
103170702,10317,702,179.4380080963217,4.833075452514445,18680,18680,26.705284,26.327848,25.873798,24.928358,24.414537
103170703,10317,703,179.43784131487715,5.019728507615952,16789,16789,26.425756,26.195835,25.765839,24.694971,24.386976
103170704,10317,704,179.43767443441544,5.206385524128296,13940,13940,26.18392,26.006859,25.446733,24.56614,24.158312
103170705,10317,705,179.43750745484843,5.393042540101437,9435,9435,26.055674,25.813107,25.026455,24.143665,23.947805
103170706,10317,706,179.43734037608775,5.579695593585391,3743,3743,,,24.867075,23.998592,23.90001
103170800,10317,800,179.25348532864314,4.461966209883683,17894,17894,26.708271,26.189615,26.125952,25.170385,24.732424
103170801,10317,801,179.253266696451,4.646259830307941,18154,18154,26.736965,26.234848,25.997711,25.057114,24.546383
103170802,10317,802,179.2530451662278,4.832898072670103,17179,17179,26.525366,26.222872,25.900665,24.877878,24.50459
103170803,10317,803,179.25282350453213,5.019544236984804,15312,15312,26.296528,26.07399,25.76398,24.750725,24.450878
103170804,10317,804,179.252601711247,5.206194362241557,13428,13428,26.160683,25.993181,25.38732,24.575216,24.218548
103170805,10317,805,179.25237978625515,5.392844486925477,11131,11131,26.099714,25.869568,24.991535,24.097305,23.891163
103170806,10317,806,179.25215772943923,5.579490649521749,3473,3473,26.014536,25.820574,24.796124,23.948692,23.827745
103180000,10318,0,182.23407118047845,4.461966257175699,16771,16771,,26.126982,26.339254,24.870058,24.256226
103180100,10318,100,182.04921722484877,4.462129932981695,17172,17172,,26.130579,26.4793,24.91578,24.326725
103180200,10318,200,181.86201144648422,4.462248545520904,22374,22374,,26.215254,26.47691,24.88394,24.448805
103180300,10318,300,181.67479767361252,4.462319715212291,16677,16677,,26.136377,26.345701,24.83325,24.322298
103180500,10318,500,181.30036213384932,4.462319703349408,19042,19042,,26.229055,26.34195,24.875523,24.476198
103180600,10318,600,181.11314836247675,4.462248521796265,16717,16717,,26.045279,26.276081,24.99802,24.570915
103180700,10318,700,180.92594258661055,4.462129897397574,16728,16728,26.04568,26.056189,26.249521,24.96767,24.538692
103180701,10318,701,180.9257780846223,4.646430320269322,17248,17248,26.102646,26.120192,26.190529,24.879316,24.428988
103180702,10318,702,180.9256114021068,4.833075452514445,15184,15184,26.129534,26.123957,26.068485,24.820944,24.33809
103180703,10318,703,180.92544462066223,5.019728507615952,16114,16114,26.116316,26.028433,25.957453,24.783623,24.290268
103180704,10318,704,180.92527774020053,5.206385524128296,10792,10792,26.119314,25.769724,25.605911,24.544909,23.931067
103180705,10318,705,180.92511076063352,5.393042540101436,8299,8299,26.08537,25.60901,25.497717,24.41016,23.723583
103180800,10318,800,180.74108863442822,4.461966209883682,16189,16189,26.156715,26.09953,26.232327,25.027891,24.525957
103180801,10318,801,180.74087000223608,4.646259830307941,18353,18353,26.197237,26.156572,26.125391,24.909119,24.400497
103180802,10318,802,180.74064847201288,4.832898072670103,15685,15685,26.221796,26.158396,26.019798,24.832731,24.331175
103180803,10318,803,180.74042681031722,5.019544236984804,14159,14159,26.197647,26.002674,25.899809,24.814749,24.30248
103180804,10318,804,180.74020501703205,5.206194362241555,12969,12969,26.150003,25.879005,25.717756,24.6566,24.091774
103180805,10318,805,180.73998309204023,5.392844486925477,8468,8468,26.106394,25.676668,25.426857,24.38744,23.725986
103190000,10319,0,183.72167448626357,4.461966257175699,20590,20590,,25.923714,26.41535,24.823643,24.556612
103190100,10319,100,183.5368205306339,4.4621299329816955,15000,15000,,25.9837,26.327868,24.843647,24.444931
103190200,10319,200,183.34961475226933,4.462248545520905,14643,14643,,26.04227,26.125986,24.92475,24.407413
103190300,10319,300,183.16240097939763,4.462319715212292,15363,15363,,26.161238,26.369392,24.95399,24.372374
103190400,10319,400,182.97518320926616,4.462343435245147,18192,18192,,26.133211,26.443094,24.906542,24.377733
103190600,10319,600,182.60075166826186,4.462248521796265,16694,16694,,26.226494,26.367691,24.842842,24.464796
103190700,10319,700,182.41354589239566,4.462129897397574,21936,21936,,26.136776,26.473242,24.878162,24.486893
103190800,10319,800,182.22869194021334,4.461966209883684,17067,17067,,26.07498,26.4277,24.889788,24.514204
103200000,10320,0,185.20927779204865,4.461966257175699,17396,17396,,26.201904,26.366379,25.030739,24.598455
103200100,10320,100,185.02442383641898,4.462129932981695,15966,15966,,26.041945,26.405163,24.966866,24.649837
103200200,10320,200,184.83721805805445,4.462248545520904,18000,18000,,25.970406,26.321562,24.86668,24.503792
103200300,10320,300,184.65000428518275,4.462319715212291,16955,16955,,25.99464,26.315044,24.967537,24.525742
103200400,10320,400,184.46278651505128,4.462343435245146,16376,16376,,26.137375,26.450104,24.971315,24.557781
103200500,10320,500,184.27556874541955,4.462319703349408,18186,18186,,26.102139,26.419619,24.811749,24.390408
103200700,10320,700,183.90114919818078,4.462129897397574,14437,14437,,26.0487,26.344128,24.864891,24.452497
103200800,10320,800,183.71629524599845,4.461966209883682,16371,16371,,26.133127,26.438896,24.925175,24.552818
103210100,10321,100,186.5120271422041,4.462129932981695,17738,17738,,26.257832,26.300669,25.147524,24.6565
103210200,10321,200,186.32482136383956,4.462248545520904,18086,18086,,26.148357,26.329334,25.112217,24.667072
103210300,10321,300,186.13760759096786,4.462319715212291,15623,15623,,26.020395,26.223454,24.903349,24.56807
103210400,10321,400,185.9503898208364,4.462343435245147,16314,16314,,25.960836,26.31236,25.010092,24.54795
103210500,10321,500,185.76317205120466,4.462319703349408,16914,16914,,26.22458,26.450562,25.04379,24.612276
103210600,10321,600,185.5759582798321,4.462248521796265,19057,19057,,26.152943,26.286575,24.934061,24.456736
103210800,10321,800,185.20389855178357,4.461966209883683,17042,17042,,26.257072,26.336367,24.938816,24.516102
103220000,10322,0,188.184484403619,4.461966257175699,15941,15941,,26.17319,26.223574,25.142427,24.347672
103220200,10322,200,187.8124246696248,4.462248545520905,20064,20064,,26.258234,26.258232,25.160685,24.43759
103220300,10322,300,187.6252108967531,4.462319715212291,16592,16592,,26.132128,26.293814,24.998962,24.350828
103220400,10322,400,187.43799312662162,4.462343435245147,15122,15122,,26.04567,26.316628,24.977156,24.390049
103220500,10322,500,187.25077535698986,4.462319703349408,17222,17222,,26.09197,26.395912,25.021261,24.547695
103220600,10322,600,187.06356158561732,4.462248521796265,17029,17029,,26.20486,26.127996,24.424137,24.702227
103220700,10322,700,186.8763558097511,4.462129897397574,15837,15837,,26.191408,26.327013,24.925678,24.680609
103230000,10323,0,189.6720877094041,4.461966257175699,15309,15309,,26.221968,26.259655,25.143126,24.520908
103230100,10323,100,189.48723375377443,4.4621299329816955,19065,19065,,26.248846,26.21711,25.116863,24.430498
103230300,10323,300,189.1128142025382,4.462319715212291,16808,16808,,26.325993,26.24714,25.279465,24.48485
103230400,10323,400,188.92559643240673,4.462343435245146,20108,20108,,26.230125,26.305225,25.181152,24.483057
103230500,10323,500,188.73837866277498,4.462319703349408,17697,17697,,26.175524,26.275427,25.116364,23.96131
103230600,10323,600,188.55116489140244,4.462248521796265,14334,14334,,26.139858,26.274725,25.17721,24.432209
103230700,10323,700,188.3639591155362,4.462129897397574,17557,17557,,26.259697,26.313648,25.205488,24.573368
103230800,10323,800,188.17910516335388,4.461966209883683,15709,15709,,26.160988,26.245071,25.206377,24.404922
103240000,10324,0,191.15969101518922,4.461966257175699,14575,14575,,26.167185,26.219946,25.14829,24.43659
103240100,10324,100,190.97483705955958,4.4621299329816955,17226,17226,,26.269094,26.296415,25.166637,24.491594
103240200,10324,200,190.78763128119502,4.462248545520904,14387,14387,,26.19374,26.180449,25.171524,24.361908
103240400,10324,400,190.41319973819185,4.462343435245147,16328,16328,,26.280201,26.230185,25.278177,24.398235
103240500,10324,500,190.2259819685601,4.462319703349409,16182,16182,,26.149246,26.291662,25.15006,24.317213
103240600,10324,600,190.03876819718755,4.462248521796265,16236,16236,,26.06968,26.224503,25.048529,24.22429
103240700,10324,700,189.85156242132132,4.462129897397574,16284,16284,,26.103407,26.283173,25.10464,24.408955
103240800,10324,800,189.666708469139,4.461966209883683,17836,17836,,26.175491,26.346123,25.119902,24.579512
